"question","category","difficulty","company","role"
"How does Python's weakref module work and when would you use it?","Python","Hard","Google","Software Engineer"
"What is the difference between __new__ and __init__ in Python?","Python","Hard","Amazon","Software Engineer"
"Explain Python's typing module and how to use generics.","Python","Medium","Microsoft","Software Engineer"
"What is the difference between map(), filter(), and list comprehensions in Python?","Python","Easy","TCS","Software Engineer"
"How does Python's heapq module work and what are its use cases?","Python","Medium","Uber","Backend Engineer"
"What is the purpose of if __name__ == '__main__' in Python?","Python","Easy","Infosys","Software Engineer"
"Explain Python's struct module and when you would use it.","Python","Medium","Apple","Backend Engineer"
"What are Python's abstract syntax trees (AST) and how can you inspect them?","Python","Hard","Netflix","Backend Engineer"
"Explain the difference between std::async and std::thread in C++.","C++","Hard","Google","Software Engineer"
"What is the copy-and-swap idiom in C++ and why is it useful?","C++","Hard","Microsoft","Software Engineer"
"Explain std::optional, std::variant, and std::any in C++17.","C++","Medium","Apple","Software Engineer"
"What is the difference between std::lock_guard and std::unique_lock?","C++","Medium","Amazon","Software Engineer"
"Explain the curiously recurring template pattern (CRTP) in C++.","C++","Hard","Meta","Software Engineer"
"Explain the Z-algorithm for pattern matching.","Data Structures and Algorithms","Hard","Google","Software Engineer"
"What is a persistent data structure and give an example?","Data Structures and Algorithms","Hard","Amazon","Software Engineer"
"Explain the concept of heavy-light decomposition on trees.","Data Structures and Algorithms","Hard","Google","Software Engineer"
"What is the difference between Prim's and Kruskal's MST algorithms?","Data Structures and Algorithms","Medium","Microsoft","Software Engineer"
"Explain the coin change problem and its dynamic programming solution.","Data Structures and Algorithms","Medium","Meta","Software Engineer"
"What is a suffix array and how is it constructed?","Data Structures and Algorithms","Hard","Amazon","Software Engineer"
"Explain the problem of finding strongly connected components using Tarjan's algorithm.","Data Structures and Algorithms","Hard","Uber","Software Engineer"
"What is the difference between a complete binary tree and a full binary tree?","Data Structures and Algorithms","Easy","Accenture","Software Engineer"
"What is the Mediator design pattern and when should it be used?","OOP","Medium","Amazon","Software Engineer"
"Explain the Visitor design pattern and the double dispatch technique.","OOP","Hard","Google","Software Engineer"
"What is the difference between the Builder and Factory patterns?","OOP","Medium","Microsoft","Software Engineer"
"Explain the concept of object pooling and when it is beneficial.","OOP","Medium","Meta","Backend Engineer"
"What is the law of Demeter and why does it matter?","OOP","Medium","Atlassian","Software Engineer"
"What is the difference between a graph database and a relational database?","DBMS","Medium","Amazon","Backend Engineer"
"Explain the concept of multi-version concurrency control (MVCC).","DBMS","Hard","Google","Backend Engineer"
"What is a hot spot in database design and how do you avoid it?","DBMS","Hard","Meta","Backend Engineer"
"Explain the difference between a data warehouse and a data lake.","DBMS","Medium","Goldman Sachs","Data Analyst"
"What is a covering index and how does it speed up queries?","DBMS","Hard","Microsoft","Backend Engineer"
"How would you identify and remove orphaned records in SQL?","SQL","Medium","TCS","Data Analyst"
"Explain the difference between INTERSECT and EXCEPT in SQL.","SQL","Medium","Microsoft","Data Analyst"
"How do you implement a slowly changing dimension (SCD Type 2) in SQL?","SQL","Hard","Goldman Sachs","Data Analyst"
"What is the difference between a clustered and non-clustered index in SQL Server?","SQL","Medium","Amazon","Data Analyst"
"How would you write a SQL query to find gaps in a sequential ID column?","SQL","Hard","Uber","Data Analyst"
"What is the MERGE statement in SQL and what are its use cases?","SQL","Hard","Meta","Data Analyst"
"What is the difference between synchronous and asynchronous I/O?","Operating Systems","Medium","Google","Software Engineer"
"Explain the concept of huge pages and their performance benefits.","Operating Systems","Hard","Apple","Software Engineer"
"What is the difference between hard and soft real-time systems?","Operating Systems","Medium","Amazon","Software Engineer"
"Explain the concept of memory barriers and why they are needed.","Operating Systems","Hard","Microsoft","Software Engineer"
"What is the difference between a monolithic kernel and a microkernel?","Operating Systems","Medium","Meta","Software Engineer"
"What is the difference between SMTP, IMAP, and POP3 protocols?","Computer Networks","Easy","Accenture","Backend Engineer"
"Explain how HTTP/2 improves over HTTP/1.1.","Computer Networks","Medium","Google","Backend Engineer"
"What is OSPF and how does link-state routing work?","Computer Networks","Hard","Amazon","Backend Engineer"
"Explain the concept of network flow control and backpressure.","Computer Networks","Hard","Netflix","Backend Engineer"
"What is VLAN and how does it segment network traffic?","Computer Networks","Medium","Microsoft","Backend Engineer"
"What is the difference between L-BFGS and SGD optimizers?","Machine Learning","Hard","Google","ML Engineer"
"Explain the concept of class activation maps (CAM) for model interpretability.","Machine Learning","Hard","Meta","ML Engineer"
"What is isotonic regression and when is it used?","Machine Learning","Hard","Amazon","Data Scientist"
"Explain the difference between frequentist and Bayesian approaches to ML.","Machine Learning","Hard","Microsoft","Data Scientist"
"What is matrix factorization and how is it applied in recommendation systems?","Machine Learning","Medium","Netflix","ML Engineer"
"What is the difference between hard and soft margin SVM?","Machine Learning","Medium","Uber","Data Scientist"
"Explain the concept of meta-learning (learning to learn).","Machine Learning","Hard","Apple","ML Engineer"
"What is the transformer-XL architecture and what problem does it solve?","Deep Learning","Hard","Google","ML Engineer"
"Explain the concept of neural ordinary differential equations (Neural ODEs).","Deep Learning","Hard","Meta","ML Engineer"
"What is label smoothing and how does it improve model calibration?","Deep Learning","Medium","Amazon","ML Engineer"
"Explain the concept of mixture of experts (MoE) in deep learning.","Deep Learning","Hard","Google","ML Engineer"
"What is the difference between pre-training and instruction fine-tuning?","Deep Learning","Medium","Microsoft","ML Engineer"
"What is the role of dilated convolutions in semantic segmentation?","Computer Vision","Hard","Google","Computer Vision Engineer"
"Explain how CLIP connects vision and language representations.","Computer Vision","Hard","Meta","Computer Vision Engineer"
"What is 3D point cloud processing and what neural networks handle it?","Computer Vision","Hard","Apple","Computer Vision Engineer"
"Explain the concept of image super-resolution using deep learning.","Computer Vision","Medium","Adobe","Computer Vision Engineer"
"What is the difference between object tracking and object detection?","Computer Vision","Medium","Amazon","Computer Vision Engineer"
"Explain the concept of hallucination in large language models and mitigation strategies.","NLP","Hard","Google","ML Engineer"
"What is the difference between token classification and sequence classification?","NLP","Medium","Amazon","ML Engineer"
"Explain how RLHF (Reinforcement Learning from Human Feedback) trains language models.","NLP","Hard","Meta","ML Engineer"
"What is byte-pair encoding (BPE) tokenization and how is the vocabulary built?","NLP","Medium","Microsoft","ML Engineer"
"Explain the concept of semantic search using dense vector embeddings.","NLP","Medium","Atlassian","Data Scientist"
"How do you use PyTorch's torch.utils.checkpoint for gradient checkpointing?","PyTorch","Hard","Meta","ML Engineer"
"What is ONNX and how do you export a PyTorch model to it?","PyTorch","Medium","Microsoft","ML Engineer"
"How does PyTorch handle sparse tensors and when are they useful?","PyTorch","Hard","Google","ML Engineer"
"Explain how to implement a Transformer from scratch in PyTorch.","PyTorch","Hard","Amazon","ML Engineer"
"What is TensorFlow's tf.lookup module and how is it used for embeddings?","TensorFlow","Hard","Google","ML Engineer"
"Explain how to implement custom metrics in TensorFlow Keras.","TensorFlow","Medium","Amazon","ML Engineer"
"What is tf.data.experimental.AutoShardPolicy and why does it matter in distributed training?","TensorFlow","Hard","Google","ML Engineer"
"How do you use TensorFlow's tf.keras.mixed_precision for training efficiency?","TensorFlow","Hard","Microsoft","ML Engineer"
"What is the Kolmogorov-Smirnov test and when is it used?","Data Science","Hard","Goldman Sachs","Data Analyst"
"Explain the concept of effect size and why p-values alone are insufficient.","Data Science","Medium","Uber","Data Analyst"
"What is time series decomposition and what are its components?","Data Science","Medium","Amazon","Data Scientist"
"Explain the difference between ARIMA and SARIMA models.","Data Science","Hard","Goldman Sachs","Data Scientist"
"What is the Mann-Whitney U test and when is it preferred over a t-test?","Data Science","Medium","Meta","Data Analyst"
"What is the difference between useMemo and useCallback in React?","React","Medium","Meta","Frontend Engineer"
"Explain how React's batched state updates work in concurrent mode.","React","Hard","Netflix","Frontend Engineer"
"What is the React scheduler and how does it prioritize work?","React","Hard","Meta","Frontend Engineer"
"Explain how to implement optimistic UI updates in React.","React","Medium","Atlassian","Frontend Engineer"
"What is React's forwardRef and when should you use it?","React","Medium","Adobe","Frontend Engineer"
"What is the difference between CommonJS and ES modules in Node.js?","NodeJS","Medium","Amazon","Backend Engineer"
"How does Node.js's async_hooks module work for request tracing?","NodeJS","Hard","Netflix","Backend Engineer"
"Explain how to implement graceful shutdown in a Node.js HTTP server.","NodeJS","Medium","Uber","Backend Engineer"
"What is worker_threads in Node.js and how does it differ from the cluster module?","NodeJS","Hard","Atlassian","Backend Engineer"
"How would you design a distributed tracing system for microservices?","System Design","Hard","Uber","Backend Engineer"
"Design a real-time bidding system for online advertising.","System Design","Hard","Google","Software Engineer"
"How would you design a centralized configuration management system?","System Design","Hard","Netflix","Backend Engineer"
"Design a hotel booking system with real-time availability.","System Design","Hard","Atlassian","Software Engineer"
"How would you design a feature flag system for gradual rollouts?","System Design","Hard","Meta","Software Engineer"
"What is a distributed secret management system and how does Vault work?","DevOps","Hard","Amazon","Backend Engineer"
"Explain the concept of progressive delivery and feature flags.","DevOps","Medium","Netflix","Software Engineer"
"What is the difference between pull-based and push-based deployment in GitOps?","DevOps","Hard","Google","Software Engineer"
"Explain how Prometheus scraping and alerting rules work.","DevOps","Medium","Atlassian","Backend Engineer"
