"question","category","difficulty","company","role"
"What is the difference between classmethod and staticmethod in Python?","Python","Medium","Microsoft","Software Engineer"
"How does Python's pickle module work and what are its security risks?","Python","Medium","Amazon","Backend Engineer"
"What are Python's dunder methods and give examples of common ones?","Python","Medium","Google","Software Engineer"
"Explain Python's itertools module and name three useful functions.","Python","Medium","Netflix","Backend Engineer"
"What is the difference between a shallow copy and deep copy in Python?","Python","Easy","Infosys","Software Engineer"
"How does Python's functools.lru_cache work?","Python","Medium","Uber","Backend Engineer"
"What is the Global Interpreter Lock (GIL) and how does it affect CPU-bound tasks?","Python","Hard","Meta","ML Engineer"
"Explain the difference between abstract base classes and interfaces in Python.","Python","Medium","Atlassian","Software Engineer"
"What are lambda expressions in C++ and how are they used?","C++","Medium","Microsoft","Software Engineer"
"Explain the concept of SFINAE (Substitution Failure Is Not An Error) in C++.","C++","Hard","Google","Software Engineer"
"What is undefined behavior in C++ and give three common examples?","C++","Hard","Apple","Software Engineer"
"Explain the difference between std::vector and std::deque.","C++","Medium","Amazon","Software Engineer"
"What are variadic templates in C++ and how do they work?","C++","Hard","Meta","Software Engineer"
"Explain the Bellman-Ford algorithm and when to use it over Dijkstra's.","Data Structures and Algorithms","Hard","Google","Software Engineer"
"What is a skip list and how does it achieve O(log n) search?","Data Structures and Algorithms","Hard","Amazon","Software Engineer"
"Explain the KMP string matching algorithm.","Data Structures and Algorithms","Hard","Microsoft","Software Engineer"
"What is a monotonic stack and give an example problem where it applies?","Data Structures and Algorithms","Medium","Meta","Software Engineer"
"Explain the difference between memoization and tabulation with an example.","Data Structures and Algorithms","Medium","Uber","Software Engineer"
"What is the Rabin-Karp algorithm and how does rolling hash work?","Data Structures and Algorithms","Hard","Google","Software Engineer"
"Explain the concept of amortized analysis with the dynamic array example.","Data Structures and Algorithms","Medium","Amazon","Software Engineer"
"What is a disjoint set and how is path compression implemented?","Data Structures and Algorithms","Hard","Atlassian","Software Engineer"
"What is the difference between an abstract class and an interface?","OOP","Easy","TCS","Software Engineer"
"Explain the Command design pattern and a practical use case.","OOP","Medium","Amazon","Software Engineer"
"What is the Proxy design pattern and how does it differ from Decorator?","OOP","Hard","Google","Software Engineer"
"Explain the Interface Segregation Principle with an example.","OOP","Medium","Microsoft","Software Engineer"
"What is cohesion and coupling in software design?","OOP","Easy","Accenture","Software Engineer"
"What is a materialized view and how does it differ from a regular view?","DBMS","Medium","Goldman Sachs","Data Analyst"
"Explain the difference between row-oriented and column-oriented databases.","DBMS","Medium","Amazon","Data Analyst"
"What is write-ahead logging (WAL) and why is it important?","DBMS","Hard","Google","Backend Engineer"
"What is eventual consistency and how does it differ from strong consistency?","DBMS","Hard","Meta","Backend Engineer"
"Explain the difference between a primary key and a unique key.","DBMS","Easy","Infosys","Data Analyst"
"How do you detect and handle NULL values in SQL queries?","SQL","Easy","TCS","Data Analyst"
"Write a SQL query to find employees who earn more than their manager.","SQL","Medium","Amazon","Data Analyst"
"What is the difference between EXISTS and IN in SQL?","SQL","Medium","Microsoft","Data Analyst"
"How would you calculate month-over-month growth rate in SQL?","SQL","Hard","Uber","Data Analyst"
"What are lateral joins in SQL and when are they useful?","SQL","Hard","Google","Data Analyst"
"Explain the COALESCE function and provide a practical example.","SQL","Easy","Goldman Sachs","Data Analyst"
"Explain the difference between hard links and symbolic links.","Operating Systems","Medium","Apple","Software Engineer"
"What is copy-on-write (COW) and how is it used in operating systems?","Operating Systems","Hard","Google","Software Engineer"
"Explain the concept of inter-process communication (IPC) and its methods.","Operating Systems","Medium","Amazon","Software Engineer"
"What is a zombie process and how do you prevent it?","Operating Systems","Medium","Meta","Backend Engineer"
"Explain the buddy system for memory allocation.","Operating Systems","Hard","Microsoft","Software Engineer"
"What is the difference between a hub, switch, and router?","Computer Networks","Easy","Accenture","Backend Engineer"
"Explain the QUIC protocol and why it was developed.","Computer Networks","Hard","Google","Backend Engineer"
"What is network address translation (NAT) and how does it work?","Computer Networks","Medium","Amazon","Backend Engineer"
"Explain WebSockets and how they differ from HTTP long polling.","Computer Networks","Medium","Uber","Backend Engineer"
"What is anycast routing and where is it commonly used?","Computer Networks","Hard","Netflix","Backend Engineer"
"What is the EM (Expectation-Maximization) algorithm?","Machine Learning","Hard","Google","Data Scientist"
"Explain support vector machines (SVM) and the concept of the kernel trick.","Machine Learning","Hard","Amazon","ML Engineer"
"What is the difference between parametric and non-parametric models?","Machine Learning","Medium","Microsoft","Data Scientist"
"What is label encoding vs one-hot encoding and when to use each?","Machine Learning","Easy","TCS","Data Scientist"
"Explain the concept of model calibration and why it matters.","Machine Learning","Hard","Meta","ML Engineer"
"What is Gaussian Naive Bayes and what assumptions does it make?","Machine Learning","Medium","Accenture","Data Scientist"
"What is the difference between hard and soft voting in ensemble classifiers?","Machine Learning","Medium","Uber","Data Scientist"
"Explain the concept of positional encoding in Transformer models.","Deep Learning","Hard","Google","ML Engineer"
"What is the difference between encoder-only, decoder-only, and encoder-decoder Transformers?","Deep Learning","Hard","Meta","ML Engineer"
"What are depthwise separable convolutions and why are they efficient?","Deep Learning","Hard","Apple","ML Engineer"
"Explain the concept of learning rate warmup and cosine annealing.","Deep Learning","Medium","Amazon","ML Engineer"
"What is the difference between instance normalization and layer normalization?","Deep Learning","Hard","Microsoft","ML Engineer"
"Explain the role of feature pyramid networks (FPN) in object detection.","Computer Vision","Hard","Google","Computer Vision Engineer"
"What is image augmentation with MixUp and CutMix?","Computer Vision","Medium","Meta","Computer Vision Engineer"
"Explain how Vision Transformers (ViT) differ from CNNs.","Computer Vision","Hard","Google","Computer Vision Engineer"
"What is stereo vision and how is depth estimated from two cameras?","Computer Vision","Hard","Apple","Computer Vision Engineer"
"Explain the SIFT algorithm for local feature detection.","Computer Vision","Hard","Adobe","Computer Vision Engineer"
"What is the difference between extractive and abstractive summarization?","NLP","Medium","Amazon","Data Scientist"
"Explain the concept of zero-shot and few-shot learning in NLP.","NLP","Hard","Google","ML Engineer"
"What is cross-lingual transfer learning and how does mBERT enable it?","NLP","Hard","Meta","ML Engineer"
"Explain the concept of retrieval-augmented generation (RAG).","NLP","Hard","Microsoft","ML Engineer"
"What is coreference resolution and why is it challenging?","NLP","Medium","Amazon","Data Scientist"
"Explain how PyTorch's autograd computes gradients for custom functions.","PyTorch","Hard","Meta","ML Engineer"
"What is torch.jit.script and how does TorchScript improve deployment?","PyTorch","Hard","Google","ML Engineer"
"How do you profile a PyTorch model to find performance bottlenecks?","PyTorch","Medium","Amazon","ML Engineer"
"Explain PyTorch Lightning and how it simplifies training code.","PyTorch","Medium","Microsoft","ML Engineer"
"What is TensorFlow's SavedModel format and how does it enable serving?","TensorFlow","Medium","Google","ML Engineer"
"Explain TensorFlow's GradientTape and how it enables custom training.","TensorFlow","Hard","Amazon","ML Engineer"
"What is Keras functional API and how does it differ from Sequential?","TensorFlow","Medium","Meta","ML Engineer"
"How does TensorFlow Extended (TFX) support end-to-end ML pipelines?","TensorFlow","Hard","Google","ML Engineer"
"What is the difference between Type I and Type II errors?","Data Science","Easy","Goldman Sachs","Data Analyst"
"Explain Bayesian inference and how it differs from frequentist statistics.","Data Science","Hard","Google","Data Scientist"
"What is bootstrapping in statistics and how is it used to estimate confidence intervals?","Data Science","Medium","Amazon","Data Scientist"
"How do you approach class imbalance in a classification problem?","Data Science","Medium","Meta","Data Scientist"
"What is the difference between variance and standard deviation?","Data Science","Easy","Accenture","Data Analyst"
"What is React's Context API and what problems does it solve?","React","Medium","Atlassian","Frontend Engineer"
"Explain how React's error boundaries work.","React","Medium","Netflix","Frontend Engineer"
"What is the difference between React class components and functional components?","React","Easy","Adobe","Frontend Engineer"
"Explain the concept of compound components pattern in React.","React","Hard","Meta","Frontend Engineer"
"What is React Query and how does it simplify data fetching?","React","Medium","Uber","Frontend Engineer"
"What is the difference between synchronous and asynchronous code in Node.js?","NodeJS","Easy","TCS","Backend Engineer"
"Explain how Node.js handles child processes and the fork method.","NodeJS","Hard","Amazon","Backend Engineer"
"What is the purpose of the package-lock.json file in Node.js projects?","NodeJS","Easy","Atlassian","Software Engineer"
"How do you implement caching in a Node.js application using Redis?","NodeJS","Medium","Uber","Backend Engineer"
"How would you design a distributed ID generation system like Twitter's Snowflake?","System Design","Hard","Twitter","Software Engineer"
"How would you design a leaderboard system for a gaming platform?","System Design","Hard","Atlassian","Backend Engineer"
"Design a web crawler for indexing a large portion of the internet.","System Design","Hard","Google","Software Engineer"
"How would you design an e-commerce product recommendation engine?","System Design","Hard","Amazon","ML Engineer"
"Design a real-time sports score update system for millions of users.","System Design","Hard","Meta","Backend Engineer"
"What is chaos engineering and how does Netflix use it?","DevOps","Hard","Netflix","Backend Engineer"
"Explain the difference between monolithic and microservices architectures.","DevOps","Medium","Amazon","Software Engineer"
"What is a sidecar container pattern in Kubernetes?","DevOps","Hard","Google","Backend Engineer"
"Explain the concept of immutable infrastructure.","DevOps","Medium","Atlassian","Software Engineer"
