"question","category","difficulty","company","role"
"What is the difference between __str__ and __repr__ in Python?","Python","Easy","Google","Software Engineer"
"How does Python's asyncio work and when should you use it?","Python","Hard","Netflix","Backend Engineer"
"Explain Python's descriptor protocol and how properties use it.","Python","Hard","Microsoft","Software Engineer"
"What is the difference between is and == in Python?","Python","Easy","TCS","Software Engineer"
"How do you implement a singleton pattern in Python?","Python","Medium","Amazon","Backend Engineer"
"What are metaclasses in Python and when would you use them?","Python","Hard","Google","Software Engineer"
"Explain the difference between multiprocessing and multithreading in Python.","Python","Medium","Uber","Backend Engineer"
"What is monkey patching in Python and what are its risks?","Python","Medium","Atlassian","Software Engineer"
"What is the Rule of Five in modern C++?","C++","Hard","Apple","Software Engineer"
"Explain the difference between static_cast, dynamic_cast, and reinterpret_cast.","C++","Hard","Microsoft","Software Engineer"
"What are smart pointers and when would you use unique_ptr vs shared_ptr?","C++","Medium","Google","Software Engineer"
"What is template metaprogramming in C++?","C++","Hard","Amazon","Software Engineer"
"Explain the difference between inline functions and macros in C++.","C++","Medium","Meta","Software Engineer"
"What is a segment tree and what problems does it solve?","Data Structures and Algorithms","Hard","Google","Software Engineer"
"Explain the Floyd-Warshall algorithm and its use case.","Data Structures and Algorithms","Hard","Amazon","Software Engineer"
"What is a B-tree and why is it used in databases?","Data Structures and Algorithms","Hard","Microsoft","Software Engineer"
"Explain the sliding window technique with an example.","Data Structures and Algorithms","Medium","Meta","Software Engineer"
"What is topological sorting and when is it applicable?","Data Structures and Algorithms","Medium","Uber","Software Engineer"
"Explain the two-pointer technique and give an example problem.","Data Structures and Algorithms","Easy","Amazon","Software Engineer"
"What is a Fenwick tree (Binary Indexed Tree) and how does it work?","Data Structures and Algorithms","Hard","Google","Software Engineer"
"How does Kruskal's algorithm find a Minimum Spanning Tree?","Data Structures and Algorithms","Medium","Atlassian","Software Engineer"
"Explain the Open/Closed Principle with an example.","OOP","Medium","Microsoft","Software Engineer"
"What is the Dependency Inversion Principle and why does it matter?","OOP","Medium","Amazon","Software Engineer"
"What is method overloading vs method overriding?","OOP","Easy","Infosys","Software Engineer"
"Explain the Strategy design pattern with a real-world example.","OOP","Medium","Google","Software Engineer"
"What is the Decorator design pattern and how does it differ from inheritance?","OOP","Medium","Netflix","Software Engineer"
"What is a transaction isolation level and explain the four standard levels?","DBMS","Hard","Goldman Sachs","Backend Engineer"
"What is the difference between optimistic and pessimistic locking?","DBMS","Hard","Amazon","Backend Engineer"
"Explain the CAP theorem and its implications for distributed databases.","DBMS","Hard","Google","Backend Engineer"
"What is database sharding and what are its challenges?","DBMS","Hard","Meta","Backend Engineer"
"What are stored procedures and how do they differ from functions in SQL?","DBMS","Medium","TCS","Data Analyst"
"How would you find the second highest salary in a table without using LIMIT?","SQL","Medium","Amazon","Data Analyst"
"Explain the difference between UNION and UNION ALL.","SQL","Easy","Microsoft","Data Analyst"
"How do you pivot rows into columns in SQL?","SQL","Hard","Goldman Sachs","Data Analyst"
"What is a correlated subquery and how does it differ from a regular subquery?","SQL","Hard","Google","Data Analyst"
"Explain the difference between RANK(), DENSE_RANK(), and ROW_NUMBER().","SQL","Medium","Meta","Data Analyst"
"How would you calculate a running total in SQL?","SQL","Medium","Uber","Data Analyst"
"What is thrashing in an operating system and how is it prevented?","Operating Systems","Hard","Google","Software Engineer"
"Explain the difference between preemptive and non-preemptive scheduling.","Operating Systems","Medium","Microsoft","Software Engineer"
"What is a system call and how does it differ from a function call?","Operating Systems","Medium","Amazon","Software Engineer"
"Explain memory-mapped files and their advantages.","Operating Systems","Hard","Apple","Software Engineer"
"What is the banker's algorithm for deadlock avoidance?","Operating Systems","Hard","Meta","Software Engineer"
"What is the difference between IPv4 and IPv6?","Computer Networks","Easy","Accenture","Backend Engineer"
"Explain TCP's three-way handshake and four-way termination.","Computer Networks","Medium","Amazon","Backend Engineer"
"What is a CDN and how does it reduce latency?","Computer Networks","Medium","Netflix","Backend Engineer"
"Explain the difference between symmetric and asymmetric encryption.","Computer Networks","Medium","Goldman Sachs","Backend Engineer"
"What is BGP and how does inter-domain routing work?","Computer Networks","Hard","Google","Backend Engineer"
"Explain the XGBoost algorithm and why it performs well in practice.","Machine Learning","Hard","Amazon","Data Scientist"
"What is the curse of dimensionality and how does it affect ML models?","Machine Learning","Medium","Google","Data Scientist"
"Explain SHAP values and their role in model interpretability.","Machine Learning","Hard","Meta","Data Scientist"
"What is the difference between generative and discriminative models?","Machine Learning","Medium","Microsoft","ML Engineer"
"How does k-means clustering work and what are its limitations?","Machine Learning","Medium","Uber","Data Scientist"
"What is the ROC-AUC score and how do you interpret it?","Machine Learning","Easy","Accenture","Data Scientist"
"Explain the difference between bagging and boosting ensemble methods.","Machine Learning","Medium","Amazon","ML Engineer"
"What is the difference between RNN, LSTM, and GRU?","Deep Learning","Hard","Google","ML Engineer"
"Explain dropout regularization and how it prevents overfitting.","Deep Learning","Medium","Meta","ML Engineer"
"What is knowledge distillation in deep learning?","Deep Learning","Hard","Apple","ML Engineer"
"Explain the concept of residual connections in ResNets.","Deep Learning","Medium","Microsoft","ML Engineer"
"What is the difference between model.train() and model.eval() in PyTorch?","Deep Learning","Easy","Amazon","ML Engineer"
"What is non-maximum suppression (NMS) and why is it used in object detection?","Computer Vision","Medium","Apple","Computer Vision Engineer"
"Explain the difference between anchor-based and anchor-free object detectors.","Computer Vision","Hard","Google","Computer Vision Engineer"
"What is optical flow and how is it used in video understanding?","Computer Vision","Hard","Meta","Computer Vision Engineer"
"What is the Intersection over Union (IoU) metric and how is it computed?","Computer Vision","Easy","Adobe","Computer Vision Engineer"
"Explain how GAN (Generative Adversarial Network) works for image synthesis.","Computer Vision","Hard","Nvidia","Computer Vision Engineer"
"What is the difference between stemming and lemmatization?","NLP","Easy","Accenture","Data Scientist"
"Explain how the Transformer's multi-head attention differs from single-head attention.","NLP","Hard","Google","ML Engineer"
"What is fine-tuning a pretrained language model and how does it work?","NLP","Medium","Meta","ML Engineer"
"What is sentence embeddings and how does Sentence-BERT generate them?","NLP","Hard","Amazon","ML Engineer"
"Explain the concept of prompt engineering in large language models.","NLP","Medium","Google","ML Engineer"
"How does mixed-precision training work in PyTorch and why is it useful?","PyTorch","Hard","Meta","ML Engineer"
"Explain PyTorch's torch.nn.Module and how to build a custom model.","PyTorch","Medium","Amazon","ML Engineer"
"What is gradient clipping in PyTorch and why is it used?","PyTorch","Medium","Google","ML Engineer"
"How does distributed training work with PyTorch DistributedDataParallel?","PyTorch","Hard","Meta","ML Engineer"
"What is TensorFlow Serving and how is it used in production?","TensorFlow","Hard","Google","ML Engineer"
"Explain TensorFlow's Keras callbacks and their common uses.","TensorFlow","Medium","Microsoft","ML Engineer"
"What is TensorFlow Lite and how does it differ from standard TensorFlow?","TensorFlow","Medium","Apple","ML Engineer"
"How does TensorFlow handle distributed training with tf.distribute.Strategy?","TensorFlow","Hard","Google","ML Engineer"
"What is the difference between correlation and causation with an example?","Data Science","Easy","Uber","Data Analyst"
"Explain the concept of survivorship bias and its impact on data analysis.","Data Science","Medium","Goldman Sachs","Data Analyst"
"What is Simpson's paradox and why is it important in data analysis?","Data Science","Hard","Google","Data Analyst"
"How do you detect and handle outliers in a dataset?","Data Science","Medium","Amazon","Data Scientist"
"What is the central limit theorem and why is it important in statistics?","Data Science","Medium","Microsoft","Data Analyst"
"What is React's useReducer hook and when should you use it over useState?","React","Medium","Meta","Frontend Engineer"
